epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1809.4,1.70453,1.25093,0.9512,0.49494,0.42881,0.44847,0.2939,1.66551,1.22251,0.94857,0.000428887,0.000428887,0.000428887
43,1840.25,1.68703,1.23595,0.9481,0.61303,0.42917,0.47114,0.30867,1.70046,1.20587,0.94893,0.000425006,0.000425006,0.000425006
44,1867.44,1.65693,1.22574,0.94336,0.55708,0.44176,0.48044,0.31344,1.67016,1.20321,0.94742,0.000421126,0.000421126,0.000421126
45,1901.62,1.6871,1.23207,0.9426,0.55113,0.41562,0.46739,0.30798,1.68408,1.20057,0.94515,0.000417245,0.000417245,0.000417245
46,1929.38,1.68503,1.2148,0.94415,0.58559,0.44725,0.48836,0.32116,1.63782,1.20511,0.9425,0.000413364,0.000413364,0.000413364
47,1963.3,1.67122,1.20466,0.93614,0.54381,0.45243,0.48634,0.3236,1.64835,1.18532,0.94067,0.000409483,0.000409483,0.000409483
48,1990.75,1.63448,1.18453,0.94033,0.61271,0.4623,0.50937,0.33461,1.62512,1.16142,0.93877,0.000405602,0.000405602,0.000405602
49,2022.33,1.68492,1.20404,0.93962,0.54468,0.46163,0.50077,0.33589,1.61497,1.21233,0.94025,0.000401722,0.000401722,0.000401722
50,2050.17,1.6769,1.21008,0.94237,0.6026,0.47109,0.5121,0.34018,1.61517,1.18388,0.93748,0.000397841,0.000397841,0.000397841
51,2102.41,1.64604,1.18355,0.93519,0.6005,0.46811,0.50987,0.33582,1.64054,1.16972,0.93798,0.00039396,0.00039396,0.00039396
52,2144.71,1.66469,1.18087,0.93997,0.56332,0.48699,0.51814,0.345,1.62733,1.17118,0.93369,0.000390079,0.000390079,0.000390079
53,2172.26,1.66019,1.18953,0.93561,0.52724,0.48139,0.50376,0.32963,1.6879,1.2442,0.94816,0.000386198,0.000386198,0.000386198
54,2214.18,1.65585,1.17558,0.93702,0.60668,0.47105,0.52042,0.3497,1.61625,1.15227,0.93357,0.000382318,0.000382318,0.000382318
55,2334.22,1.61444,1.15541,0.93022,0.56818,0.49413,0.52475,0.34631,1.64527,1.1645,0.93938,0.000378437,0.000378437,0.000378437
56,2362,1.62832,1.14843,0.93177,0.60124,0.50154,0.53942,0.35647,1.6403,1.13958,0.94006,0.000374556,0.000374556,0.000374556
